"Timestamp","Action","Source","Destination","SourceSHA256","DestinationSHA256","Result","Script","Function","ProcessId","User","Computer","Note"
"2026-08-20 12:15:53","INSTALL_NEW","C:\Users\richh\Downloads\patch-community-toggles.py","D:\minramas\scripts\patch-community-toggles.py","","","CONFIRMED","Install-File.ps1","","","richh","","new file, no prior version, nothing archived. 3081 bytes. Install-File output read back in session."
"2026-08-20 12:15:54","INSTALL_NEW","C:\Users\richh\Downloads\patch-gallery-nav.py","D:\minramas\scripts\patch-gallery-nav.py","","","CONFIRMED","Install-File.ps1","","","richh","","new file, no prior version, nothing archived. 13080 bytes. Install-File output read back in session."
"2026-08-20 12:24:42","INSTALL_NEW","C:\Users\richh\Downloads\patch-middleware-panels.py","D:\minramas\scripts\patch-middleware-panels.py","","","CONFIRMED","Install-File.ps1","","","richh","","new file, no prior version, nothing archived. 4291 bytes. Install-File output read back in session."
"2026-08-20 12:24:42","INSTALL_NEW","C:\Users\richh\Downloads\patch-portraits-panel-boot.py","D:\minramas\scripts\patch-portraits-panel-boot.py","","","CONFIRMED","Install-File.ps1","","","richh","","new file, no prior version, nothing archived. 5462 bytes. Install-File output read back in session."
"2026-08-20 14:53:48","INSTALL_NEW","C:\Users\richh\Downloads\patch-collection-post.py","D:\minramas\scripts\patch-collection-post.py","","","CONFIRMED","Install-File.ps1","","","richh","","new file, no prior version, nothing archived. 20247 bytes. Install-File output read back in session."
"2026-08-20 14:53:49","INSTALL_NEW","C:\Users\richh\Downloads\test-collection-post.js","D:\minramas\scripts\test-collection-post.js","","","CONFIRMED","Install-File.ps1","","","richh","","new file, no prior version, nothing archived. 9968 bytes. Install-File output read back in session."
"2026-08-20 14:53:52","INSTALL_NEW","C:\Users\richh\Downloads\READ-THIS-FIRST.md","D:\minramas\docs\GOVERNANCE\READ-THIS-FIRST.md","","","CONFIRMED","Install-File.ps1","","","richh","","new file, no prior version, nothing archived. 4342 bytes. Install-File output read back in session."
"","INSTALL_NEW","C:\Users\richh\Downloads\patch-nav-groups.py","D:\minramas\scripts\patch-nav-groups.py","","","APPLIED","Install-File.ps1","","","richh","","new file, no prior version, nothing archived. Operator confirmed by running it; clock time not captured."
"","INSTALL_NEW","C:\Users\richh\Downloads\patch-hide-footer.py","D:\minramas\scripts\patch-hide-footer.py","","","APPLIED","Install-File.ps1","","","richh","","new file, no prior version, nothing archived. Operator confirmed by running it; clock time not captured."
"","INSTALL_NEW","C:\Users\richh\Downloads\patch-floor-height.py","D:\minramas\scripts\patch-floor-height.py","","","APPLIED","Install-File.ps1","","","richh","","new file, no prior version, nothing archived. Operator confirmed by running it; clock time not captured."
"","INSTALL_NEW","C:\Users\richh\Downloads\patch-studio-crumb.py","D:\minramas\scripts\patch-studio-crumb.py","","","APPLIED","Install-File.ps1","","","richh","","new file, no prior version, nothing archived. Operator confirmed by running it; clock time not captured."
"","INSTALL_NEW","C:\Users\richh\Downloads\patch-queue-needs-source.py","D:\minramas\scripts\patch-queue-needs-source.py","","","APPLIED","Install-File.ps1","","","richh","","new file, no prior version, nothing archived. Operator confirmed by running it; clock time not captured."
"","INSTALL_NEW","C:\Users\richh\Downloads\patch-wallpapers-type.py","D:\minramas\scripts\patch-wallpapers-type.py","","","APPLIED","Install-File.ps1","","","richh","","new file, no prior version, nothing archived. Operator confirmed by running it; clock time not captured."
"","INSTALL_NEW","C:\Users\richh\Downloads\patch-community-signedin.py","D:\minramas\scripts\patch-community-signedin.py","","","APPLIED","Install-File.ps1","","","richh","","new file, no prior version, nothing archived. Operator confirmed by running it; clock time not captured."
"","INSTALL_NEW","C:\Users\richh\Downloads\patch-softlaunch-paywall.py","D:\minramas\scripts\patch-softlaunch-paywall.py","","","APPLIED","Install-File.ps1","","","richh","","new file, no prior version, nothing archived. Operator confirmed by running it; clock time not captured."
"","INSTALL_REPLACE","C:\Users\richh\Downloads\groups-registry.js","D:\minramas\public\groups-registry.js","","","APPLIED","Install-File.ps1","","","richh","","REPLACEMENT. The previous groups-registry.js was archived to H: by Install-File.ps1 with _NNN numbering before the new file was written. ARCHIVE PATH UNKNOWN - the Install-File output was not read back in session, so the exact H: path is not recorded here and should be read from Install-File's own ledger or from H: directly. NOT A DELETION. Verified after install with findstr: the lookup table was gone and the derived plate path was present."
"","INSTALL_NEW","C:\Users\richh\Downloads\CUI-CENG-COMMUNITY-2026-08-20.md","D:\minramas\docs\GOVERNANCE\CUI-CENG-COMMUNITY-2026-08-20.md","","","UNCONFIRMED","Install-File.ps1","","","richh","","Install command issued; no output read back in session. May or may not have been run. Verify against the repo path."
"","INSTALL_NEW","C:\Users\richh\Downloads\CUI-CENG-COMMUNITY-RULINGS-2026-08-20.md","D:\minramas\docs\GOVERNANCE\CUI-CENG-COMMUNITY-RULINGS-2026-08-20.md","","","UNCONFIRMED","Install-File.ps1","","","richh","","Install command issued; no output read back in session. May or may not have been run. Verify against the repo path."
"","INSTALL_NEW","C:\Users\richh\Downloads\SOFT-LAUNCH-ALLOCATION-2026-08-20.md","D:\minramas\docs\GOVERNANCE\SOFT-LAUNCH-ALLOCATION-2026-08-20.md","","","UNCONFIRMED","Install-File.ps1","","","richh","","Install command issued; no output read back in session. May or may not have been run. Verify against the repo path."
"","NOT_INSTALLED","C:\Users\richh\Downloads\FileOps-Tracker.ps1","","","","SUPERSEDED","","","","richh","","CUI delivered a hardened draft; CENG's rewrite superseded it before installation. Believed never installed. The copy in Downloads is not the live version."
"","NOT_INSTALLED","C:\Users\richh\Downloads\Test-FileOpsTracker.ps1","","","","SUPERSEDED","","","","richh","","CUI delivered a hardened draft; CENG's rewrite superseded it before installation. Believed never installed. The copy in Downloads is not the live version."
"","SCRIPT_MODIFY","D:\minramas\public\portraits.html","D:\minramas\public\portraits.html","","","APPLIED","patch-nav-groups.py","","","richh","","In-place edit, not a move. No archive; the prior content is in git history. added Groups to the Series dropdown and the mobile drawer."
"","SCRIPT_MODIFY","D:\minramas\public\portraits.html","D:\minramas\public\portraits.html","","","APPLIED","patch-hide-footer.py","","","richh","","In-place edit, not a move. No archive; the prior content is in git history. appended one CSS block hiding the placeholder footer; markup untouched."
"","SCRIPT_MODIFY","D:\minramas\public\portraits.html","D:\minramas\public\portraits.html","","","APPLIED","patch-portraits-panel-boot.py","","","richh","","In-place edit, not a move. No archive; the prior content is in git history. appended a boot hook opening My Collection / Account / Print on arrival."
